episode,baseline_loss,proposed_loss,baseline_reward,proposed_reward,baseline_latency_ms,proposed_latency_ms,baseline_throughput_mbps,proposed_throughput_mbps,v2v_warning_success_rate,v2v_warnings_attempted,v2v_warnings_delivered,edge_utilization_rate,grover_action_latency_ms,grover_action_match_rate,grover_uav_match_rate,grover_path_match_rate,grover_resource_match_rate,privacy_epsilon,privacy_epsilon_mean_over_clients,fed_rounds_so_far
10,4.782004266860895,6.007382713898551,-1.0074348233096464,-1.1003824352915832,251.85870582741163,275.0956088228958,5.082214632187983,4.652927778371238,0.5581395348837209,43,24,0.14023163417975107,22.240317099451076,1.0,1.0,1.0,1.0,4.195235392680606,4.195235392680606,132
11,8.052363785953881,5.235906074129161,-1.1420968804257259,-0.9761169918223643,285.5242201064314,244.02924795559105,4.4829822125873235,5.245272895456109,0.918918918918919,37,34,0.13317400589585304,20.15991381275005,1.0,1.0,1.0,1.0,4.381780460041329,4.381780460041329,144
12,3.106685712817125,1.2328107741777785,-0.7352969773958794,-0.7158655801448256,183.8242443489698,178.96639503620642,6.963172918421265,7.152180719408496,0.7735849056603774,53,41,0.13945234815279642,19.927067174289718,1.0,1.0,1.0,1.0,4.560701700396551,4.560701700396551,156
13,2.760918788611889,1.9093773337178088,-0.7403272552462798,-0.7157140629932286,185.08181381157,178.92851574830715,6.915860470781617,7.153694840908052,0.7777777777777778,36,28,0.15246267771969238,19.525008370772923,1.0,1.0,1.0,1.0,4.732863826479693,4.732863826479693,168
14,1.7736177331826184,1.7518546067779728,-0.61084935882506,-0.6172991390150583,152.71233970626503,154.3247847537646,8.381771914843421,8.29419591961411,0.8809523809523809,42,37,0.15689014860739312,18.123701580734103,1.0,1.0,1.0,1.0,4.898979485566356,4.898979485566356,180
15,1.5361484490858857,3.175362551167685,-0.6217983148012286,-0.7456466160303398,155.44957870030717,186.41165400758496,8.234181209765289,6.866523484352098,0.8695652173913043,46,40,0.14650701296826205,18.8020469559826,1.0,1.0,1.0,1.0,5.059644256269407,5.059644256269407,192
16,0.6282034794373127,0.7938266364896359,-0.5591246605893874,-0.5811129586937103,139.78116514734685,145.27823967342755,9.157170772261912,8.81067944433609,0.7346938775510204,49,36,0.12519069015979767,17.629363179154087,1.0,1.0,1.0,1.0,5.215361924162119,5.215361924162119,204
17,2.2703912764554843,1.3163735688625213,-0.718831387383139,-0.5786913834333115,179.70784684578476,144.67284585832786,7.122671727842939,8.847548359237027,0.8095238095238095,42,34,0.1513452154273788,18.075685735300382,1.0,1.0,1.0,1.0,5.366563145999495,5.366563145999495,216
18,1.2830695142232191,2.2047221710454323,-0.6841753938255583,-0.6995130488916103,171.0438484563896,174.87826222290258,7.483461179993015,7.319377398481305,0.7222222222222222,36,26,0.14056087533632913,19.21582907241474,1.0,1.0,1.0,1.0,5.513619500836089,5.513619500836089,228
19,4.433868386976731,0.7740319119087266,-0.9302978644059673,-0.7025884627494289,232.57446610149182,175.6471156873572,5.503613623008074,7.287338565116743,0.8378378378378378,37,31,0.13825601634259024,19.97385100586529,1.0,1.0,1.0,1.0,5.656854249492381,5.656854249492381,240
20,2.724524982001943,3.964906756843751,-0.7800425665974368,-0.8547986447058419,195.01064164935917,213.6996611764605,6.563744363764091,5.989714690951485,0.95,40,38,0.14722311745087305,19.723237623903728,1.0,1.0,1.0,1.0,5.796550698475776,5.796550698475776,252
21,3.292895333841443,4.1382443920398755,-0.8913240260015852,-0.8763611775830737,222.83100650039637,219.0902943957684,5.744263422324591,5.842340043086465,0.7551020408163265,49,37,0.14544131141155958,20.211392189484908,1.0,1.0,1.0,1.0,5.9329587896765315,5.9329587896765315,264
