episode,step,cluster_id,selected_uav_id,selected_uav_rate_bps,match,success_probability
3,2,0,1,61584285.7049785,1,1.0
3,2,1,3,88241147.21394467,1,1.0
3,2,2,8,58716461.62746166,1,1.0
3,2,3,10,108058780.70755371,1,1.0
3,3,0,2,75194463.15313262,1,1.0
3,3,1,4,66668033.91046074,1,1.0
3,3,2,8,56037857.45184509,1,1.0
3,3,3,10,84413668.9274577,1,1.0
3,4,0,2,87272082.75774482,1,1.0
3,4,1,4,80898134.8795151,1,1.0
3,4,2,6,69310666.75797072,1,1.0
3,4,3,11,93191398.03272265,1,1.0
3,5,0,2,77742324.42722638,1,1.0
3,5,1,3,90070579.58807312,1,1.0
3,5,2,8,85110321.35661052,1,1.0
3,5,3,11,76473706.54150368,1,1.0
3,6,0,2,74946060.49881175,1,1.0
3,6,1,3,64911795.96799574,1,1.0
3,6,2,8,95581879.1230033,1,1.0
3,6,3,11,109562629.1733643,1,1.0
3,7,0,2,69070202.17671323,1,1.0
3,7,1,3,86397614.14373255,1,1.0
3,7,2,6,65148948.70520133,1,1.0
3,7,3,10,90224724.06657688,1,1.0
3,8,0,2,75859717.90552992,1,1.0
3,8,1,4,73525442.73447731,1,1.0
3,8,2,7,64587728.78958685,1,1.0
3,8,3,11,69593910.90813228,1,1.0
3,9,0,0,69841862.70053922,1,1.0
3,9,1,4,73329748.88128391,1,1.0
3,9,2,6,53770682.91662811,1,1.0
3,9,3,11,74804789.08393577,1,1.0
3,10,0,2,76822843.94052267,1,1.0
3,10,1,3,87640126.88021827,1,1.0
3,10,2,8,68563893.24677466,1,1.0
3,10,3,11,84417217.1625042,1,1.0
3,11,0,0,79706402.70829311,1,1.0
3,11,1,3,90048346.01657142,1,1.0
3,11,2,6,92625548.02214526,1,1.0
3,11,3,11,90877331.28342994,1,1.0
3,12,0,2,64644794.46723635,1,1.0
3,12,1,4,68997803.60984576,1,1.0
3,12,2,8,77601452.31922933,1,1.0
3,12,3,11,83239976.18272069,1,1.0
3,13,0,2,60398645.01348274,1,1.0
3,13,1,3,102092528.67949063,1,1.0
3,13,2,6,68857595.55814107,1,1.0
3,13,3,10,76503620.03286839,1,1.0
3,14,0,0,84208867.84698373,1,1.0
3,14,1,4,57800790.577428766,1,1.0
3,14,2,8,91845932.15603377,1,1.0
3,14,3,10,71814762.80461241,1,1.0
3,15,0,2,67552720.93923473,1,1.0
3,15,1,4,71719575.44916405,1,1.0
3,15,2,6,58451491.210834116,1,1.0
3,15,3,10,83640273.94729874,1,1.0
3,16,0,1,63370556.748717465,1,1.0
3,16,1,3,75931708.36678949,1,1.0
3,16,2,8,76445172.89195532,1,1.0
3,16,3,10,80585958.56895016,1,1.0
3,17,0,2,115975181.5898601,1,1.0
3,17,1,3,120702098.58887611,1,1.0
3,17,2,8,69497080.93348382,1,1.0
3,17,3,11,88420386.7931341,1,1.0
3,18,0,2,84663490.19268276,1,1.0
3,18,1,3,79448090.31723155,1,1.0
3,18,2,8,85666282.82019322,1,1.0
3,18,3,10,111219620.58365946,1,1.0
3,19,0,2,69995442.02364995,1,1.0
3,19,1,3,70562363.44433442,1,1.0
3,19,2,8,65900241.408630595,1,1.0
3,19,3,11,96208254.09962532,1,1.0
3,20,0,2,74277768.28594305,1,1.0
3,20,1,4,72932240.43770544,1,1.0
3,20,2,8,70145899.49246997,1,1.0
3,20,3,11,104660518.42656168,1,1.0
3,21,0,0,64530683.820342615,1,1.0
3,21,1,3,77035898.18633188,1,1.0
3,21,2,8,73731674.43110983,1,1.0
3,21,3,10,73377213.3753669,1,1.0
3,22,0,0,67042249.26904255,1,1.0
3,22,1,3,89936204.22295722,1,1.0
3,22,2,7,73256610.87733585,1,1.0
3,22,3,10,97494969.21297719,1,1.0
3,23,0,0,60933245.704780795,1,1.0
3,23,1,3,103179831.40017898,1,1.0
3,23,2,8,74187782.49140984,1,1.0
3,23,3,11,70140498.80314834,1,1.0
4,0,0,0,61915212.46853966,1,1.0
4,0,1,3,68726077.56839639,1,1.0
