episode,step,veh_id,selected_path,selected_latency_ms,classical_best_latency_ms,match,success_probability
1,9,13,Direct,0.02165964949194617,0.02165964949194617,1,1.0
1,9,15,Direct,0.0109662450534397,0.0109662450534397,1,1.0
1,10,2,Direct,0.018133316071897623,0.018133316071897623,1,1.0
1,10,11,Direct,0.09636789044283622,0.09636789044283622,1,1.0
1,10,15,Direct,0.007668865610683926,0.007668865610683926,1,1.0
1,11,11,Direct,0.04693591270370115,0.04693591270370115,1,1.0
1,12,0,Direct,0.024003100503156006,0.024003100503156006,1,1.0
1,13,3,Direct,0.006498999312962917,0.006498999312962917,1,1.0
1,13,6,Direct,0.011456616753561544,0.011456616753561544,1,1.0
1,13,13,Direct,0.016318804063000295,0.016318804063000295,1,1.0
1,14,12,Direct,0.1011435973124389,0.1011435973124389,1,1.0
1,15,9,Direct,0.0076293291002057445,0.0076293291002057445,1,1.0
1,15,15,Direct,0.00927395796779743,0.00927395796779743,1,1.0
1,17,9,Direct,0.010825454502014619,0.010825454502014619,1,1.0
1,18,8,Direct,0.02097170481880379,0.02097170481880379,1,1.0
1,18,13,Direct,0.009770759056492297,0.009770759056492297,1,1.0
1,19,11,Direct,0.14079916108058588,0.14079916108058588,1,1.0
1,19,15,Direct,0.04621069307764705,0.04621069307764705,1,1.0
1,20,2,Direct,0.011178675733584663,0.011178675733584663,1,1.0
1,20,15,Direct,0.016014038625473462,0.016014038625473462,1,1.0
1,21,4,Direct,0.05540144537755325,0.05540144537755325,1,1.0
1,21,12,Direct,0.05947972656040961,0.05947972656040961,1,1.0
1,21,13,Direct,0.014156282349003044,0.014156282349003044,1,1.0
1,22,15,Direct,0.02110090536944031,0.02110090536944031,1,1.0
2,1,4,Direct,0.022468996004094213,0.022468996004094213,1,1.0
2,1,11,Direct,0.05558361590582873,0.05558361590582873,1,1.0
2,2,2,Direct,2.8597244581789805,2.8597244581789805,1,1.0
2,2,9,Direct,0.008618370400133708,0.008618370400133708,1,1.0
2,2,15,Direct,0.012321907015254463,0.012321907015254463,1,1.0
2,4,11,Direct,0.0518330008254544,0.0518330008254544,1,1.0
2,5,1,Direct,0.02259867024604318,0.02259867024604318,1,1.0
2,5,3,Direct,20.05010908377805,20.05010908377805,1,1.0
2,5,6,Direct,0.015444553627134263,0.015444553627134263,1,1.0
2,6,15,Direct,0.09071709784930553,0.09071709784930553,1,1.0
2,9,1,Direct,0.014668711451087479,0.014668711451087479,1,1.0
2,10,0,Direct,0.012408386041486762,0.012408386041486762,1,1.0
2,11,4,Direct,73.27389246832988,73.27389246832988,1,1.0
2,11,10,Direct,0.06139671672998639,0.06139671672998639,1,1.0
2,12,1,Direct,0.012536743899386369,0.012536743899386369,1,1.0
2,12,3,Direct,0.01792310577605446,0.01792310577605446,1,1.0
2,12,4,Direct,0.03853236696507339,0.03853236696507339,1,1.0
2,12,10,Direct,0.06671847509423075,0.06671847509423075,1,1.0
2,13,10,Direct,0.06045118161601796,0.06045118161601796,1,1.0
2,14,14,Direct,0.5928453829875436,0.5928453829875436,1,1.0
2,15,3,Direct,4.685367917317542,4.685367917317542,1,1.0
2,15,6,Direct,0.017040224598069368,0.017040224598069368,1,1.0
2,15,9,Direct,0.04069952634778062,0.04069952634778062,1,1.0
2,15,14,Direct,0.023621948475989404,0.023621948475989404,1,1.0
2,16,4,Direct,0.05601550212860736,0.05601550212860736,1,1.0
2,17,3,Direct,0.11274748607328798,0.11274748607328798,1,1.0
2,17,11,Direct,0.391108004156617,0.391108004156617,1,1.0
2,18,1,Direct,0.019891602302811884,0.019891602302811884,1,1.0
2,18,9,Direct,0.010713668628515999,0.010713668628515999,1,1.0
2,21,14,Direct,136.48654723665248,136.48654723665248,1,1.0
2,22,10,Direct,15.491231650758255,15.491231650758255,1,1.0
