episode,step,veh_id,T_tot_ms,deadline_ms,violation
0,21,10,29.1863451537017,250,0
0,21,11,71.8842184103788,250,0
0,21,12,44.9131941481589,250,0
0,21,13,11.0443488379741,250,0
0,21,14,62.1228312805361,250,0
0,21,15,23.1973252998382,250,0
0,22,0,8.74730711892489,250,0
0,22,1,4.53084853369593,250,0
0,22,2,16.6400837227219,250,0
0,22,3,2.31141680625051,250,0
0,22,4,47.2390704377569,250,0
0,22,5,40.6289412083472,250,0
0,22,6,1.01580286644781,250,0
0,22,7,14.2811036311353,250,0
0,22,8,4.18693533494537,250,0
0,22,9,12.4176528311771,250,0
0,22,10,66.9605013477914,250,0
0,22,11,25.4102110891027,250,0
0,22,12,57.387458988174,250,0
0,22,13,30.8507110414712,250,0
0,22,14,33.3372032799519,250,0
0,22,15,14.536773537953,250,0
0,23,0,16.1089833517127,250,0
0,23,1,15.0886178122239,250,0
0,23,2,7.05692691144425,250,0
0,23,3,1.28593100341318,250,0
0,23,4,22.0638689457069,250,0
0,23,5,16.3052592719327,250,0
0,23,6,0.178104798005311,250,0
0,23,7,14.3331884843635,250,0
0,23,8,46.5987486810412,250,0
0,23,9,12.4371923883081,250,0
0,23,10,86.302474754455,250,0
0,23,11,21.1391392932164,250,0
0,23,12,30.3728986158595,250,0
0,23,13,20.7165656348533,250,0
0,23,14,31.7857664219807,250,0
0,23,15,18.139042508323,250,0
1,0,0,250,250,0
1,0,1,250,250,0
1,0,2,250,250,0
1,0,3,250,250,0
1,0,4,250,250,0
1,0,5,250,250,0
1,0,6,250,250,0
1,0,7,250,250,0
1,0,8,250,250,0
1,0,9,250,250,0
1,0,10,250,250,0
1,0,11,250,250,0
1,0,12,250,250,0
1,0,13,250,250,0
1,0,14,250,250,0
1,0,15,250,250,0
1,1,0,14.5077447183894,250,0
1,1,1,1.73733399989848,250,0
1,1,2,15.3042546572236,250,0
1,1,3,3.76997907555982,250,0
1,1,4,2.56030797196478,250,0
1,1,5,7.50553502232516,250,0
1,1,6,11.6012702698305,250,0
1,1,7,24.5447614847607,250,0
1,1,8,13.9508248042507,250,0
1,1,9,5.60523397679167,250,0
1,1,10,36.8208622290172,250,0
1,1,11,41.9984653926976,250,0
1,1,12,111.417594709357,250,0
1,1,13,12.621673934741,250,0
1,1,14,2.18113177178922,250,0
1,1,15,13.2172994197236,250,0
1,2,0,19.3316153132716,250,0
1,2,1,13.8942590489885,250,0
1,2,2,14.7105704790756,250,0
1,2,3,16.5994831006783,250,0
1,2,4,49.8455091301981,250,0
1,2,5,1.50535737734309,250,0
1,2,6,15.0511914957678,250,0
1,2,7,1.20136159003708,250,0
1,2,8,32.3903033469258,250,0
1,2,9,13.3016831511753,250,0
1,2,10,41.6624119340595,250,0
1,2,11,20.8034948165553,250,0
1,2,12,85.9424219810894,250,0
1,2,13,6.15028201422287,250,0
1,2,14,27.5732149023611,250,0
1,2,15,143.351033689866,250,0
1,3,0,8.33842027679776,250,0
1,3,1,11.8804991283626,250,0
1,3,2,16.5448785991291,250,0
1,3,3,11.6037892268907,250,0
1,3,4,59.8185223398272,250,0
1,3,5,4.55019556203842,250,0
1,3,6,21.8627409264271,250,0
1,3,7,62.569510388714,250,0
1,3,8,25.0778715344508,250,0
1,3,9,11.8090463289299,250,0
1,3,10,47.1391303066857,250,0
1,3,11,98.1584365153075,250,0
1,3,12,250,250,0
1,3,13,0.175200311997699,250,0
1,3,14,10.1830208038113,250,0
1,3,15,22.1434090547345,250,0
1,4,0,4.03423449424981,250,0
1,4,1,22.8308852133367,250,0
1,4,2,7.45164438708662,250,0
1,4,3,11.3832789041368,250,0
1,4,4,19.6452493269936,250,0
1,4,5,11.2902658706034,250,0
1,4,6,14.1972652658479,250,0
1,4,7,68.0212791535101,250,0
1,4,8,15.9537106519787,250,0
1,4,9,61.8727045336283,250,0
1,4,10,23.9383851470939,250,0
1,4,11,47.8398722218794,250,0
1,4,12,139.147299315856,250,0
1,4,13,58.7338123137901,250,0
1,4,14,0.660358024841012,250,0
1,4,15,12.8335312031659,250,0
1,5,0,4.23500998642154,250,0
1,5,1,56.2995313315801,250,0
1,5,2,12.1893108329357,250,0
1,5,3,9.44833357755422,250,0
1,5,4,3.32626010600767,250,0
1,5,5,250,250,0
1,5,6,24.4402846776872,250,0
1,5,7,36.2053717494549,250,0
1,5,8,12.0856336691518,250,0
1,5,9,0.600081933033606,250,0
1,5,10,22.39408934606,250,0
1,5,11,102.638417050468,250,0
1,5,12,111.567633500164,250,0
1,5,13,8.77178449217179,250,0
1,5,14,80.0268755673661,250,0
1,5,15,9.15278153843704,250,0
1,6,0,12.2740493287107,250,0
1,6,1,12.6339571727278,250,0
1,6,2,13.0826800205843,250,0
1,6,3,10.5770301827389,250,0
1,6,4,250,250,0
1,6,5,24.7983200188711,250,0
1,6,6,11.0765636716225,250,0
1,6,7,25.7723652305122,250,0
1,6,8,4.12954437794428,250,0
1,6,9,10.8432066112757,250,0
1,6,10,18.1762148634262,250,0
1,6,11,37.2013427837148,250,0
1,6,12,49.4301899865628,250,0
1,6,13,16.2620167028218,250,0
1,6,14,22.3752512331474,250,0
1,6,15,25.0564496081534,250,0
1,7,0,15.8410627832087,250,0
1,7,1,23.2109560172682,250,0
1,7,2,17.9903359486888,250,0
1,7,3,12.275454823478,250,0
1,7,4,3.61524773792316,250,0
1,7,5,0.784302383903858,250,0
1,7,6,50.9102014422474,250,0
1,7,7,29.2592456690921,250,0
1,7,8,0.523113520245185,250,0
1,7,9,15.8507639054022,250,0
1,7,10,0.392792660542073,250,0
1,7,11,50.6935120662138,250,0
1,7,12,250,250,0
1,7,13,8.97469864461536,250,0
1,7,14,24.8170003490889,250,0
1,7,15,21.3004934756436,250,0
1,8,0,44.8056857438608,250,0
1,8,1,120.877505038672,250,0
1,8,2,21.1125544183083,250,0
1,8,3,1.46685725996461,250,0
1,8,4,33.8423586696644,250,0
1,8,5,7.77403481769287,250,0
1,8,6,22.6152728456892,250,0
1,8,7,59.3758922153276,250,0
1,8,8,6.35525690256619,250,0
1,8,9,16.6869871661669,250,0
1,8,10,9.54243484358043,250,0
1,8,11,50.8243999896781,250,0
1,8,12,9.07671329248986,250,0
1,8,13,117.705045646773,250,0
1,8,14,75.9211840022964,250,0
1,8,15,10.6806325551202,250,0
1,9,0,23.6699204626478,250,0
1,9,1,14.6348145557479,250,0
1,9,2,22.0404203952162,250,0
1,9,3,17.585777116157,250,0
1,9,4,25.2097458731295,250,0
1,9,5,4.53090151463475,250,0
1,9,6,1.58314422270853,250,0
1,9,7,17.060109771684,250,0
1,9,8,24.1370218764614,250,0
1,9,9,14.3135463886976,250,0
1,9,10,77.9189540111263,250,0
1,9,11,73.7807416424285,250,0
